sentence;url;place;lat;lon;sentiment_score;sentiment
migrant children are being routinely and forcibly given a range of psychotropic drugs at U.S. government-funded youth shelters to manage their trauma after being detained and in some cases separated from parents;https://www.nbcnews.com/health/kids-health/u-s-centers-force-migrant-children-take-drugs-lawsuit-n885386?cid=public-rss_20180624;United States;38.0;-97.0;0.5;positive
refugees who are currently staying at an Extended Stay America in Tewksbury.;http://www.thevalleydispatch.com/ci_31965461/behind-hotel-room-doors-refugees-tell-struggle-and;United States;38.0;-97.0;0.0;neutral
migrants they are a minuscule fraction.;https://www.vcstar.com/story/opinion/columnists/2018/06/23/looking-immigration-problem-logically/725994002/;Mexico;23.0;-102.0;0.0;neutral
migrants are wrestling with the administration's changing immigration policies, says Sister Magdalena Silva, who runs the migrant shelter.;http://www.wlrh.org/NPR-News/migrants-are-stuck-mexico-violence-back-home-and-zero-tolerance-us;Mexico;23.0;-102.0;0.0;neutral
migrant children are, but did not elaborate on a timetable for when they might be reunited with their family members.;https://www.msn.com/en-us/news/us/reports-migrants-told-they%E2%80%99ll-be-reunited-with-children-if-they-sign-voluntary-deportation-order/ar-AAz5YHq;Honduras;15.0;-86.5;-0.25;negative
Migrants not entitled to asylum should be returned directly to their country of origin and not via other countries, Macron said.;http://technoblizt.com/2018/06/germany-and-france-agreed-on-the-establishment-of-a/;Tunisia;34.0;9.0;-0.012;negative
migrants who are willing to risk their lives to reach Europe.;https://www.expressandstar.com/news/world-news/2018/06/24/merkel-emergency-eu-immigration-meeting-produced-a-lot-of-good-will/;Niger;16.0;8.0;0.25;positive
migrants are being brought to his group by bus after federal authorities withdrew criminal charges.;http://www.dailymail.co.uk/wires/ap/article-5880691/The-Latest-Protesters-gather-West-Texas-border-crossing.html;Mexico;23.0;-102.0;-0.4;negative
migrants is so blurred that we will have to tighten the definition of ‘refugee.;https://www.theaustralian.com.au/news/world/the-times?nk=d41cc7a6ecae4bf3746e7f5147803597-1529824685;United States;38.0;-97.0;0.0;neutral
migrant is apprehended within 100 miles (160 km) of the border and has been in the country less than 14 days.;http://www.freemalaysiatoday.com/category/world/2018/06/25/trump-says-illegal-immigrants-should-be-deported-with-no-judges-or-court-cases/;United States;38.0;-97.0;-0.167;negative
Refugee Resettlement not be functioning as a partner in immigration enforcement because that wasn’t what the program was supposed to do,” Greenberg told Texas Monthly.;https://www.texasmonthly.com/news/agency-overseeing-separated-kids-telling-immigration-officials-claiming-children/;Mexico;23.0;-102.0;0.0;neutral
migrants should not be returned to Bulgaria;http://bulgarianpresidency.eu/borissov-at-migration-mini-summit-we-told-you-long-ago/;Tunisia;34.0;9.0;0.0;neutral
migrant rights are human rights.”;https://www.mysanantonio.com/news/local/article/Protesters-rally-in-Tornillo-against-federal-13022127.php;United States;38.0;-97.0;0.0;neutral
asylum seekers who are entitled to our help.;https://www.metro.us/news/reuters/merkel-presses-over-migration-european-solution-fails;Germany;51.0;9.0;0.0;neutral
migrant adults are prosecuted by the Justice Department and then detained by Immigration and Customs Enforcement;https://www.click2houston.com/news/texas/kids-in-exchange-for-deportation-detained-migrants-say-they-were-told-they-could-get-kids-back-on_;United States;38.0;-97.0;0.0;neutral
refugees are given opportunities to uplift themselves educationally and have access to livelihood opportunities in Bangladesh until they return to Myanmar.;http://thedailynewnation.com/news/179106/until-regional-powers-force-myanmar-the-scenario-will-not-change.html;Bangladesh;24.0;90.0;0.25;positive
migrant is apprehended within 100 miles (160 km) of the border and has been in the country for less than 14 days.;http://www.dnaindia.com/world/report-donald-trump-calls-for-deporting-illegal-immigrants-with-no-judges-or-court-cases-2628846;United States;38.0;-97.0;-0.167;negative
refugees are choosing to go to Spain as Italy increases its clampdown on refugee arrivals.;http://sheikyermami.com/2018/06/islam-is-not-part-of-any-european-country/;Italy;42.83;12.83;0.0;neutral
migrant families are released from detention at a bus depot in McAllen, Texas, U.S., June 22, 2018.;http://www.swissinfo.ch/eng/u-s--says-still-working-to-reunite-2-053-children-with-families/44212776;United States;38.0;-97.0;0.0;neutral
migrants who are longtime neighbours and members of our communities,” he writes.;http://www.newsweek.com/royal-wedding-preacher-michael-curry-trumps-cruel-child-separation-policy-992941;United States;38.0;-97.0;0.0;neutral
migrants are welcome here.” US President Donald Trump and several of his officials had blamed Congress for the policy, and insisted current immigration laws meant they were bound to separate families.;https://www.news.com.au/world/north-america/donald-trump-twitter-rant-insists-that-immigrants-who-invade-us-should-be-instantly-deported/news-story/ccd620825c53691e547d6fee3227a4ca;United States;38.0;-97.0;0.267;positive
asylum seekers is founded in conventions that date back to the early fifties.;http://www.jordantimes.com/opinion/walid-m-sadi/legal-norms-migrants-overdue;Canada;60.0;-95.0;0.05;positive
migrant families are putting a spotlight on his competence in carrying out his policies.;https://www.660news.com/2018/06/23/ap-news-in-brief-at-1204-a-m-edt-153/;Israel;31.5;34.75;0.0;neutral
